                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0945,                 1.2974,                0.97065,                0.71704,                    0.6,                0.57554,                0.23903,                 2.1813,                 1.3058,                0.96796,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.0858,                 1.2974,                0.97021,                0.70359,                  0.525,                0.54044,                0.24461,                 2.1975,                 1.3139,                0.96573,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.0806,                 1.3038,                0.96078,                 0.7195,                0.64142,                0.61098,                 0.2338,                 2.2235,                 1.3105,                0.97194,               0.000614,               0.000614,               0.000614
                     38,                 2.0792,                 1.2866,                0.96442,                0.73634,                  0.675,                0.62727,                0.24777,                 2.0563,                 1.2742,                0.93905,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.9972,                 1.2086,                0.95809,                0.73125,                    0.7,                0.61425,                0.24011,                 2.0033,                 1.2506,                0.92674,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.0412,                 1.2584,                0.96709,                0.74968,                    0.7,                0.64042,                0.26623,                 1.9933,                 1.2262,                0.91846,              0.0004952,              0.0004952,              0.0004952
                     41,                  2.072,                 1.4789,                0.94574,                0.74677,                    0.7,                0.64551,                0.27126,                 1.9952,                 1.2133,                0.92073,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.1094,                 1.3199,                  0.953,                0.78171,                   0.75,                 0.6547,                0.27015,                 1.9946,                 1.1389,                0.91982,               0.000416,               0.000416,               0.000416
                     43,                 2.1432,                 1.4017,                0.96227,                0.81124,                  0.775,                0.68438,                0.30473,                  1.939,                 1.0885,                0.91044,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.0691,                 1.3294,                0.95214,                0.89438,                0.84687,                0.81143,                0.33357,                 1.8928,                 1.0769,                0.89528,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.0466,                 1.3589,                0.93941,                0.89369,                0.84082,                0.82378,                0.33499,                 1.8753,                  1.087,                0.88923,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.0614,                 1.3289,                0.95221,                0.88128,                  0.825,                0.84238,                0.33112,                 1.8832,                 1.1004,                 0.8928,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.9983,                 1.2184,                0.94835,                0.84815,                  0.838,                0.84198,                0.32866,                 1.8915,                  1.085,                0.89694,               0.000218,               0.000218,               0.000218
                     48,                 2.0026,                 1.2393,                0.95408,                0.82095,                0.80246,                0.81998,                0.32955,                  1.899,                 1.0824,                 0.8944,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.9301,                 1.2218,                 0.9265,                0.82018,                0.79823,                0.82132,                0.32652,                    1.9,                 1.0816,                 0.8934,              0.0001388,              0.0001388,              0.0001388
                     50,                  1.969,                 1.3097,                0.92804,                0.84514,                0.81875,                0.83151,                0.31203,                 1.9015,                 1.0808,                0.89076,               9.92e-05,               9.92e-05,               9.92e-05
